1,0,0,0
2,1,0,0
3,2,0,0
4,3,0,0
5,4,0,0
6,5,0,0
7,6,0,0
8,7,0,0
9,8,0,0
10,9,0,0
11,10,0,0
12,11,0,0
13,12,0,0
14,13,0,0
15,14,0,0
16,15,0,0
17,16,0,0
18,17,0,0
19,18,0,0
20,19,0,0
21,20,0,0
22,21,0,0
23,22,0,0
24,23,0,0
25,24,0,0
26,25,0,0
27,26,0,0
28,27,0,0
29,28,0,0
30,29,0,0
31,30,0,0
32,31,0,0
33,32,0,0
34,33,0,0
35,34,0,0
36,35,0,0
37,36,0,0
38,37,0,0
39,38,0,0
40,39,0,0
41,40,0,0
42,41,0,0
43,42,0,0
44,43,0,0
45,44,0,0
46,45,0,0
47,46,0,0
48,47,0,0
49,48,0,0
50,49,0,0
51,0,1,0
52,1,1,0
53,2,1,0
54,3,1,0
55,4,1,0
56,5,1,0
57,6,1,0
58,7,1,0
59,8,1,0
60,9,1,0
61,10,1,0
62,11,1,0
63,12,1,0
64,13,1,0
65,14,1,0
66,15,1,0
67,16,1,0
68,17,1,0
69,18,1,0
70,19,1,0
71,20,1,0
72,21,1,0
73,22,1,0
74,23,1,0
75,24,1,0
76,25,1,0
77,26,1,0
78,27,1,0
79,28,1,0
80,29,1,0
81,30,1,0
82,31,1,0
83,32,1,0
84,33,1,0
85,34,1,0
86,35,1,0
87,36,1,0
88,37,1,0
89,38,1,0
90,39,1,0
91,40,1,0
92,41,1,0
93,42,1,0
94,43,1,0
95,44,1,0
96,45,1,0
97,46,1,0
98,47,1,0
99,48,1,0
100,49,1,0
